subject,label_original,label_binary,bvp_mean,bvp_std,bvp_min,bvp_max,bvp_median,bvp_range,bvp_q25,bvp_q75,bvp_skew,bvp_kurtosis,bvp_energy,eda_mean,eda_std,eda_min,eda_max,eda_median,eda_range,eda_q25,eda_q75,eda_skew,eda_kurtosis,eda_energy,temp_mean,temp_std,temp_min,temp_max,temp_median,temp_range,temp_q25,temp_q75,temp_skew,temp_kurtosis,temp_energy,acc_mean,acc_std,acc_min,acc_max,acc_median,acc_range,acc_q25,acc_q75,acc_skew,acc_kurtosis,acc_energy
S2,1,0,-0.0006237951,0.2246858,-0.51903164,1.0173873,0.045016095,1.5364189,-0.18810913,0.16597761,0.02156346,0.19522929,0.050484102,0.089228675,0.055428192,-0.0020361028,0.19255814,0.08747612,0.19459425,0.040773112,0.13807318,0.23993552,-1.082837,0.011034041,1.3658239,0.017765941,1.3422261,1.3900577,1.3613595,0.047831535,1.3422261,1.3804928,-0.010003418,-1.3832705,1.8657897,-0.01951528,0.14946654,-0.8609977,1.3970459,-0.05378256,2.2580435,-0.10281194,0.07721084,1.0166149,13.598122,0.022721095
S2,1,0,-0.0024872182,0.314685,-2.0035203,1.2057327,0.04653182,3.2092528,-0.20409015,0.18047586,-0.8818327,6.6151457,0.099032834,-0.0025878623,0.049523737,-0.0720907,0.08747612,-0.0039815484,0.15956682,-0.048739195,0.040773112,0.12328287,-1.427956,0.0024592977,1.3945223,0.022870002,1.3613595,1.4378893,1.3900577,0.07652986,1.3804928,1.4187559,0.61207044,-0.48960853,1.9452155,-0.002045698,0.29265663,-2.560043,3.103354,-0.0049321423,5.663397,-0.10281194,0.07721084,0.8285354,28.187716,0.08565208
S2,1,0,0.006440189,1.0178673,-7.868193,4.8602138,0.055230767,12.728407,-0.2791186,0.26786074,-1.2589097,16.012312,1.0360954,-0.05123646,0.025246516,-0.10711804,-0.005926994,-0.054577075,0.101191044,-0.0720907,-0.028305773,0.065490335,-1.0192357,0.0032625613,1.4276853,0.024192816,1.3804928,1.4570227,1.4378893,0.07652986,1.4187559,1.4378893,-0.61743605,-0.89835334,2.0388708,-0.00089502335,0.82714146,-2.8969321,8.440432,-0.024282442,11.337364,-0.20013085,0.17048553,2.1474314,18.425488,0.6841638
S2,1,0,0.0062965136,1.2578173,-7.868193,4.8602138,0.063073,12.728407,-0.42347503,0.40015727,-0.72703683,6.5568905,1.5821439,-0.09203677,0.044969715,-0.16549689,-0.005926994,-0.09544229,0.15956989,-0.13436043,-0.068199806,0.3299068,-1.0268121,0.010493044,1.441716,0.010362677,1.4187559,1.4570227,1.4378893,0.038266778,1.4378893,1.4570227,0.1007133,-0.11155391,2.0786526,0.020062132,1.0668048,-5.0750475,8.440432,-0.0007292868,13.515479,-0.32354158,0.26312974,1.24092,9.226188,1.1384748
S2,1,0,0.004964006,1.1119233,-5.9197607,4.4624343,0.07355128,10.3821945,-0.30969673,0.29870248,-0.5896322,4.7270026,1.2363981,-0.14185347,0.02751616,-0.19663325,-0.068199806,-0.14214529,0.12843344,-0.161606,-0.12268468,0.27256957,-0.40896344,0.020879546,1.4318303,0.014078009,1.3900577,1.4570227,1.4378893,0.066964984,1.4187559,1.4378893,-0.5222699,0.8756397,2.050337,0.007920573,0.9350134,-5.0750475,6.5600057,-0.0049321423,11.635054,-0.1605228,0.1322535,0.7112939,9.251689,0.87431264
S2,1,0,-0.009624236,1.3259504,-5.9197607,5.5552073,0.08119582,11.474968,-0.3192853,0.30127263,-0.18383569,4.767695,1.7582372,-0.18904302,0.05067686,-0.28614557,-0.083766446,-0.18106353,0.20237912,-0.22971283,-0.15771203,-0.15152514,-0.8399856,0.0383054,1.4082339,0.022951998,1.3804928,1.4570227,1.4187559,0.07652986,1.3804928,1.4187559,0.16137785,-1.2040895,1.9836491,-0.012038572,0.95884025,-4.467404,6.6244235,-0.0520954,11.091827,-0.1605228,0.109762944,1.0662072,9.16108,0.91951954
S2,1,0,-0.015343632,1.3040946,-5.6433716,5.5552073,0.07078344,11.198579,-0.3295659,0.2905637,-0.20974946,5.102274,1.700898,-0.26487055,0.056235604,-0.34841827,-0.09933318,-0.27252427,0.24908508,-0.30560616,-0.23360527,0.71721864,0.12735033,0.07331886,1.3760277,0.021065095,1.3422261,1.4187559,1.3804928,0.07652974,1.3613595,1.3804928,0.13319716,-0.1359632,1.8938962,0.003621023,0.99217707,-4.467404,6.6244235,-0.06391204,11.091827,-0.15372047,0.11226379,1.2112609,8.804554,0.98442847
S2,1,0,0.011590014,1.0006828,-5.6433716,3.764278,0.080405,9.40765,-0.25700876,0.2575143,-0.8202329,6.7251472,1.0015004,-0.33492517,0.042978704,-0.4067972,-0.23555148,-0.33284855,0.17124572,-0.37955165,-0.30171528,0.020303747,-0.89430857,0.11402202,1.3530682,0.016147247,1.3230927,1.3804928,1.3422261,0.057400107,1.3422261,1.3613595,0.6221246,-0.81088305,1.8310547,-0.01107289,0.84396034,-4.384959,5.12556,-0.070669636,9.510519,-0.15202029,0.11226379,1.1428757,9.941905,0.71239173
S2,1,0,0.00472902,0.68883026,-4.077297,2.7815602,0.04943147,6.858857,-0.19680808,0.17556623,-0.19594724,6.354294,0.4745095,-0.39774743,0.04408713,-0.4573912,-0.29003942,-0.4067972,0.16735178,-0.43403965,-0.37955165,0.8377369,-0.10122609,0.16014671,1.3301082,0.02005712,1.3039594,1.3804928,1.3422261,0.07653344,1.3039594,1.3422261,0.094289966,-0.5408647,1.7695904,-0.0041497694,0.63649917,-3.8956676,4.986074,-0.026809119,8.881742,-0.13842782,0.10726169,1.1611683,15.68231,0.40514842
S2,1,0,0.0032533908,1.1636448,-9.590453,7.8501472,0.039809905,17.440601,-0.19670922,0.16821826,-0.089325234,28.123814,1.3540797,-0.45242915,0.03125658,-0.5079852,-0.39901236,-0.4457154,0.10897282,-0.48463362,-0.42625475,-0.123945564,-1.2247404,0.2056691,1.3141638,0.012819198,1.3039594,1.3422261,1.3039594,0.038266778,1.3039594,1.3230927,0.87583995,-0.39758825,1.7271907,-0.0021403865,0.5510847,-3.1217573,4.986074,-0.023440488,8.107831,-0.09265318,0.10225796,1.505812,17.6574,0.3036989
S2,1,0,0.0038580352,1.4235281,-9.590453,7.8501472,0.070519835,17.440601,-0.20890094,0.22907794,-0.08587914,13.018419,2.026447,-0.49627793,0.037032858,-0.5546883,-0.39901236,-0.49630943,0.15567592,-0.52744585,-0.48074275,0.7313158,0.1445148,0.24766321,1.3128884,0.010748031,1.3039594,1.3422261,1.3039594,0.038266778,1.3039594,1.3230927,0.69532454,-0.5546639,1.723791,-0.0069224555,0.6043139,-3.4323099,4.0653877,-0.00661361,7.497698,-0.133334,0.07219654,0.69494903,11.947538,0.36524323
S2,1,0,-0.009221969,0.8466288,-4.4202466,4.634832,0.049563274,9.0550785,-0.1631985,0.16258371,-0.11356055,13.988642,0.7168655,-0.54684,0.0339882,-0.59360653,-0.43793055,-0.5546883,0.15567598,-0.5741489,-0.52744585,0.97295296,0.81863713,0.30018923,1.3230927,0.015622348,1.3039594,1.3422261,1.3230927,0.038266778,1.3039594,1.3422261,1.143402e-05,-1.5000001,1.7508184,-0.009918957,0.40751624,-3.4323099,3.657415,0.016909854,7.0897245,-0.07573926,0.048769068,0.5659158,35.2721,0.16616787
S2,1,0,-0.0028163118,0.17915168,-0.45708457,0.49241886,0.046927225,0.9495034,-0.1573992,0.1361903,-0.37595823,-0.8495395,0.032103263,-0.59263474,0.021856232,-0.63252777,-0.5546883,-0.5916611,0.077839494,-0.61306715,-0.5741489,0.037707005,-1.1505587,0.35169354,1.3511548,0.021805847,1.3039594,1.3900577,1.3422261,0.08609831,1.3422261,1.3613595,0.01455909,-0.67699814,1.8260951,-0.014980185,0.0917616,-0.55415785,0.2861936,0.0034727554,0.84035146,-0.058846485,0.016909854,-0.8171195,3.2585287,0.008644598
S2,1,0,-8.601372e-05,0.18380883,-0.45708457,0.49241886,0.061030068,0.9495034,-0.16092491,0.14037502,-0.42920297,-0.87260604,0.0337857,-0.6268187,0.018671362,-0.6636612,-0.5897156,-0.6286338,0.07394558,-0.64030963,-0.61306715,0.009456277,-0.8797035,0.39325038,1.3817675,0.019563137,1.3422261,1.4187559,1.3804928,0.07652974,1.3613595,1.3900577,0.31069,-0.3737297,1.9096637,-0.016628528,0.07510039,-0.540144,0.26972222,0.0034727554,0.80986625,-0.058846485,0.0034727554,-0.069758676,4.381451,0.0059165778
S2,1,0,0.0027782158,0.8668577,-5.39756,4.57842,0.07737354,9.975981,-0.16698782,0.17022824,-0.64078933,11.642867,0.75144994,-0.65214854,0.018748572,-0.6870127,-0.60528225,-0.65198535,0.081730425,-0.6675551,-0.63641864,0.13558799,-0.8596015,0.42564932,1.4200323,0.030425781,1.3613595,1.476156,1.4187559,0.11479652,1.3900577,1.4570227,0.015122672,-1.1862097,2.0174177,-0.011675312,0.4652302,-2.3119888,3.585817,-0.058846485,5.897806,-0.058846485,0.0034727554,1.7937752,19.222876,0.21657544
S2,1,0,0.018166333,1.2935268,-5.39756,5.307155,0.0690041,10.704716,-0.29500073,0.299691,0.077022485,3.8577294,1.6735415,-0.66411614,0.02031143,-0.6947976,-0.60528225,-0.6675551,0.08951533,-0.67923087,-0.65198535,0.7398667,-0.064811945,0.4414628,1.4512829,0.014103423,1.4187559,1.476156,1.4570227,0.057400107,1.4378893,1.4570227,-0.9588567,0.628093,2.1064203,-0.0025267908,0.8194859,-4.0216084,4.423626,-0.058846485,8.445234,-0.12654528,0.13058911,0.3856797,6.4589386,0.6715635
S2,1,0,-0.0004410565,1.0270826,-4.628626,5.307155,0.053715043,9.9357815,-0.26379657,0.20482633,0.48256823,7.2766066,1.0548986,-0.6852299,0.024356483,-0.7142582,-0.63252777,-0.6947976,0.081730425,-0.7025824,-0.67339146,0.8013433,-0.67838717,0.47013316,1.4544716,0.011829014,1.4378893,1.476156,1.4570227,0.03826666,1.4378893,1.4570227,0.09277824,-0.4632249,2.1156275,-0.0058951867,0.69001096,-4.0216084,4.423626,-0.016707297,8.445234,-0.1605228,0.10225796,0.14327009,11.29884,0.47614995
S2,1,0,-0.018108392,0.37245092,-3.1922448,1.8576266,0.06907001,5.0498714,-0.18863635,0.16910791,-2.7391746,21.66078,0.1390476,-0.71484095,0.012476977,-0.7415006,-0.69090664,-0.7142582,0.050593972,-0.72593397,-0.7025824,-0.13568163,-1.0371504,0.5111531,1.4455426,0.0136192115,1.4187559,1.476156,1.4378893,0.057400107,1.4378893,1.4570227,0.90949047,0.23271418,2.0897794,-0.02323124,0.15611267,-0.8645884,1.325269,-0.048721075,2.1898575,-0.090966016,0.030333122,1.5267173,13.711283,0.024910856
S2,1,0,-0.0034396264,0.4393078,-1.531141,5.00915,0.060502857,6.540291,-0.20567179,0.16900906,4.899084,52.14743,0.19300318,-0.73410606,0.01387326,-0.76096123,-0.69090664,-0.7337158,0.07005459,-0.74539155,-0.72204,0.34910807,-0.016824484,0.5391041,1.4423537,0.009481257,1.4187559,1.4570227,1.4378893,0.038266778,1.4378893,1.4570227,0.4005684,-0.15857387,2.0804744,-0.037235007,0.3197739,-2.3668613,3.1770213,-0.08081132,5.5438824,-0.1605228,0.023622708,1.8231288,31.763222,0.103641815
S2,1,0,-0.0006892841,0.4507563,-1.531141,5.00915,0.05219932,6.540291,-0.21852252,0.16943744,4.5472026,46.71475,0.2031817,-0.7422143,0.009871076,-0.76096123,-0.69090664,-0.7415006,0.07005459,-0.74539155,-0.73760974,2.5840147,11.341209,0.55097944,1.4602115,0.018539507,1.4378893,1.4952894,1.4570227,0.057400107,1.4378893,1.476156,0.32163143,-0.9417634,2.1325617,-0.07146821,0.3175634,-2.3668613,3.1770213,-0.14692138,5.5438824,-0.14692138,0.023622708,2.162271,33.598633,0.10595424
S2,1,0,0.0007147536,0.2517444,-0.5050606,0.8242969,0.058064517,1.3293575,-0.21582055,0.17599459,-0.13229908,-0.8492472,0.06337574,-0.74649537,0.006358931,-0.7570673,-0.7337158,-0.74539155,0.02335155,-0.7531764,-0.7415006,-0.043760557,-1.002124,0.5572957,1.471054,0.013008193,1.4570227,1.4952894,1.476156,0.038266778,1.4570227,1.476156,0.38842854,-0.8409865,2.1641688,-0.11174898,0.07215626,-0.4008295,0.17712355,-0.14692138,0.57795304,-0.14692138,-0.14692138,1.4965782,1.016789,0.017694362
S2,1,0,-0.0033775687,0.27262676,-0.93289065,0.8054492,0.049167864,1.7383399,-0.23773268,0.18097012,-0.16006327,-0.6111393,0.07433676,-0.7589171,0.012878225,-0.80377036,-0.7415006,-0.7570673,0.062269747,-0.76096123,-0.7531764,-2.1932287,5.021554,0.57612103,1.4602116,0.014889078,1.4378893,1.4952894,1.4570227,0.057400107,1.4570227,1.476156,0.12574323,-0.56711864,2.1324396,-0.083342835,0.21503647,-1.6216303,2.4393067,-0.14692138,4.060937,-0.14692138,-0.043661214,1.7381941,33.704308,0.05318672
S2,1,0,0.0020889968,0.4922709,-4.140694,2.9703012,0.020632679,7.1109953,-0.248178,0.2147774,-0.6801262,14.85965,0.24233499,-0.78256047,0.019574882,-0.81544614,-0.7531764,-0.79209465,0.062269747,-0.7998795,-0.76096123,0.15920669,-1.6859194,0.6127842,1.450645,0.013378138,1.4378893,1.476156,1.4570227,0.03826666,1.4378893,1.4570227,0.5633919,-0.8305919,2.10455,-0.03119759,0.4320857,-3.0238864,2.7048242,-0.043661214,5.7287107,-0.09138414,0.07721084,-0.22401617,12.803406,0.18767132
S2,1,0,0.0056059184,0.65265864,-4.140694,2.9703012,0.022082504,7.1109953,-0.28979456,0.26940942,-0.30179936,6.432501,0.42599475,-0.80545795,0.009423063,-0.823231,-0.78431284,-0.80766433,0.038918138,-0.81155527,-0.7959885,0.025974842,-0.6764636,0.6488514,1.450645,0.012432576,1.4378893,1.476156,1.4570227,0.03826666,1.4378893,1.4570227,0.45897105,-0.71469355,2.1045253,-0.0072764815,0.51068103,-3.1809235,3.8887286,-0.01165964,7.069652,-0.089269094,0.07721084,0.030813953,12.551712,0.26084808
S2,1,0,-0.0007985036,0.6147633,-2.4604788,2.827164,0.0454774,5.2876425,-0.3124316,0.30858767,0.03942182,3.3843098,0.37793458,-0.8199877,0.010507297,-0.8426917,-0.7959885,-0.8193401,0.04670322,-0.82809544,-0.81155527,0.029495751,-0.8601246,0.6724904,1.4493693,0.013619213,1.4187559,1.476156,1.4570227,0.057400107,1.4378893,1.4570227,0.19964094,-0.39057493,2.100857,-0.003858251,0.37432665,-3.1809235,3.8887286,0.0017921012,7.069652,-0.089269094,0.07721084,0.7555083,26.968836,0.14013532
S2,1,0,-0.008275602,0.47634324,-1.7215953,2.1500957,0.0569442,3.871691,-0.22995634,0.217051,-0.2631858,3.1975036,0.22697137,-0.8341283,0.009038466,-0.85436743,-0.80766433,-0.8349068,0.0467031,-0.83879775,-0.8300424,0.55130714,0.2834196,0.69585204,1.4337438,0.017410763,1.3900577,1.476156,1.4378893,0.08609831,1.4187559,1.4378893,0.12511696,0.23024487,2.0559247,-0.0004326602,0.21466677,-1.4396796,1.0938317,0.0017921012,2.5335112,-0.016707297,0.0017921012,-0.4969108,7.6756,0.04608201
S2,1,0,-0.006733859,0.410269,-2.4034085,2.2030802,0.07829616,4.6064887,-0.21816003,0.20548534,-0.65155953,6.5345573,0.168366,-0.84758794,0.0086223995,-0.8660432,-0.8310159,-0.85047346,0.035027325,-0.85436743,-0.83879775,0.042547077,-1.020807,0.7184798,1.4260902,0.012518044,1.3900577,1.4570227,1.4187559,0.066964984,1.4187559,1.4378893,-0.098966494,0.88725924,2.0338907,-0.0001446473,0.21669926,-1.4396796,1.438125,0.0017921012,2.8778048,-0.070669636,0.043743376,-0.23622479,10.653475,0.046958584
S2,1,0,0.0074888384,0.46382573,-2.4034085,2.690485,0.0627435,5.0938935,-0.23041764,0.21939048,0.27240124,8.729526,0.21519041,-0.860626,0.008183828,-0.88160986,-0.8426917,-0.85825837,0.038918138,-0.8660432,-0.85436743,-0.28646073,-0.6034064,0.74074405,1.435976,0.014275445,1.4187559,1.4570227,1.4378893,0.038266778,1.4187559,1.4378893,0.16370665,-1.1916586,2.0622308,-0.00060953014,0.17464355,-1.3815067,1.438125,0.010192932,2.8196316,-0.07193704,0.043743376,-0.11885972,16.457138,0.030500738
S2,1,0,0.0037985132,0.37373206,-2.1073806,2.690485,0.0396781,4.797866,-0.19002026,0.16920677,0.6802434,15.058336,0.13969012,-0.87304765,0.008869192,-0.8893947,-0.85047346,-0.873825,0.038921237,-0.88160986,-0.8660432,0.21769364,-0.47401142,0.76229095,1.4468182,0.013738175,1.4187559,1.476156,1.4570227,0.057400107,1.4378893,1.4570227,-0.4234279,-0.34823394,2.0934718,-0.0026984469,0.11008008,-0.7288483,0.498545,0.043743376,1.2273933,-0.03860298,0.043743376,-0.74690455,4.3239636,0.012124907
S2,1,0,-0.000557138,0.21296704,-0.6276367,0.48543334,0.043961674,1.11307,-0.16309965,0.16386878,-0.39800584,-0.5893941,0.04535527,-0.8847883,0.007158447,-0.89717656,-0.8660432,-0.88550085,0.031133354,-0.8893947,-0.8777189,0.32412884,-0.51393723,0.7829015,1.4563849,0.013514266,1.4378893,1.476156,1.4570227,0.03826666,1.4378893,1.4570227,0.04708609,-0.9955604,2.12124,-0.0010233395,0.101665065,-0.3800597,0.36661446,0.015230827,0.7466742,-0.073205054,0.07721084,-0.36285186,0.4313681,0.010336833
S2,1,0,0.0026873248,0.20315713,-0.6276367,0.48543334,0.038953193,1.11307,-0.15097386,0.15368706,-0.3574662,-0.36744022,0.041280035,-0.8950045,0.006718376,-0.90885234,-0.88160986,-0.8932857,0.027242482,-0.90107054,-0.8893947,-0.27343634,-0.7068472,0.80107814,1.4640384,0.013514276,1.4378893,1.4952894,1.4570227,0.057400107,1.4570227,1.476156,-0.08915905,-0.352695,2.1435907,0.007522832,0.07725728,-0.3662313,0.34204566,0.015230827,0.708277,0.0017921012,0.015230827,-0.72766185,2.4270563,0.0060252817
